"colorSet","colorPair","nameability","RGB1","RGB2","dE2000","rgbPair","N","average_rt","sd","se","ci","low_ci","high_ci","average_rt_rounded","dE2000_rounded"
"colorset2","greyorange","high","[130, 130, 130]","[250, 120, 30]",30.0918653307816,"(130, 130, 130) - (250, 120, 30)",20,508.22003135226,35.6429038032213,7.96999558194886,16.6813924665469,491.538638885713,524.901423818807,508,30
"colorset2","greypurple","high","[130, 130, 130]","[130, 30, 180]",33.8889152326274,"(130, 130, 130) - (130, 30, 180)",20,520.532155982022,34.9734249470187,7.82029555875207,16.3680667170506,504.164089264972,536.900222699073,521,34
"colorset2","greyred","high","[130, 130, 130]","[240, 0, 10]",30.8929240659821,"(130, 130, 130) - (240, 0, 10)",20,513.610838891167,40.867518837352,9.13825501920721,19.1265875705182,494.484251320649,532.737426461685,514,31
"colorset2","lightgreenneonyellow","low","[190, 220, 210]","[160, 180, 20]",28.7716368140706,"(190, 220, 210) - (160, 180, 20)",20,541.713944351803,60.8420285165991,13.6046911652096,28.47494586158,513.238998490223,570.188890213383,542,29
"colorset2","lightgreenpink","low","[190, 220, 210]","[200, 160, 180]",32.2134787805216,"(190, 220, 210) - (200, 160, 180)",20,517.053943895214,58.1312181361246,12.9985355367243,27.2062475504452,489.847696344769,544.26019144566,517,32
"colorset2","lightgreenpinkpurple","low","[190, 220, 210]","[160, 0, 80]",63.7128973742875,"(190, 220, 210) - (160, 0, 80)",20,521.115654526653,65.9365704120262,14.7438653644492,30.8592648627497,490.256389663904,551.974919389403,521,64
"colorset2","lightgreenyellowbrown","low","[190, 220, 210]","[110, 100, 10]",43.3880566085795,"(190, 220, 210) - (110, 100, 10)",20,522.394964614671,33.579928667226,7.50870031795113,15.715890382815,506.679074231856,538.110854997486,522,43
"colorset2","neonyellowpink","low","[160, 180, 20]","[200, 160, 180]",48.2595602675787,"(160, 180, 20) - (200, 160, 180)",20,512.864662421298,44.3958506028337,9.92721398668611,20.7778976673926,492.086764753905,533.64256008869,513,48
"colorset2","neonyellowpinkpurple","low","[160, 180, 20]","[160, 0, 80]",74.7591635621586,"(160, 180, 20) - (160, 0, 80)",20,502.694204016136,59.4865949351247,13.3016070024933,27.8405834185046,474.853620597632,530.534787434641,503,75
"colorset2","neonyellowyellowbrown","low","[160, 180, 20]","[110, 100, 10]",27.9666650788063,"(160, 180, 20) - (110, 100, 10)",20,593.104339545288,90.0259616673138,20.1304170027904,42.1334470121103,550.970892533178,635.237786557398,593,28
"colorset2","orangepurple","high","[250, 120, 30]","[130, 30, 180]",57.9485237623525,"(250, 120, 30) - (130, 30, 180)",20,516.129334921044,63.8991886931765,14.2882929625029,29.9057408669515,486.223594054092,546.035075787995,516,58
"colorset2","orangered","high","[250, 120, 30]","[240, 0, 10]",19.5872791716203,"(250, 120, 30) - (240, 0, 10)",20,591.965467455567,72.6023339473221,16.2343754031353,33.9789382270567,557.98652922851,625.944405682623,592,20
"colorset2","pinkpinkpurple","low","[200, 160, 180]","[160, 0, 80]",38.7992650600432,"(200, 160, 180) - (160, 0, 80)",20,528.848407155041,67.492974565875,15.0918879132961,31.5876844289627,497.260722726078,560.436091584004,529,39
"colorset2","pinkpurpleyellowbrown","low","[160, 0, 80]","[110, 100, 10]",51.9109442634097,"(160, 0, 80) - (110, 100, 10)",20,517.647516993419,38.7902570481195,8.67376516242854,18.1543991272517,499.493117866167,535.801916120671,518,52
"colorset2","pinkyellowbrown","low","[200, 160, 180]","[110, 100, 10]",46.4578757113258,"(200, 160, 180) - (110, 100, 10)",20,518.365518280316,42.8634945816812,9.5845687637833,20.060732973729,498.304785306587,538.426251254045,518,46
"colorset2","purplered","high","[130, 30, 180]","[240, 0, 10]",43.9613484952233,"(130, 30, 180) - (240, 0, 10)",20,499.973338729083,50.186809092897,11.2221116705522,23.488149667722,476.485189061361,523.461488396805,500,44
