"colorSet","colorPair","nameability","RGB1","RGB2","dE2000","rgbPair","N","average_rt","sd","se","ci","low_ci","high_ci","average_rt_rounded","dE2000_rounded"
"colorset1","bluebrown","high","[30, 90, 210]","[120, 80, 40]",45.5603197988184,"(30, 90, 210) - (120, 80, 40)",17,575.819414153565,78.9241081561952,19.1419079020979,40.5790319988626,535.240382154702,616.398446152427,576,46
"colorset1","blueorange","high","[30, 90, 210]","[250, 120, 30]",56.3586210896164,"(30, 90, 210) - (250, 120, 30)",17,546.274598211508,48.3256813333508,11.7206993274909,24.8467726149269,521.427825596581,571.121370826435,546,56
"colorset1","bluepurple","high","[30, 90, 210]","[130, 30, 180]",20.9292011635125,"(30, 90, 210) - (130, 30, 180)",17,552.949759536519,41.8686978573224,10.1546508042831,21.526898051741,531.422861484778,574.47665758826,553,21
"colorset1","bluered","high","[30, 90, 210]","[220, 20, 0]",48.1719378944356,"(30, 90, 210) - (220, 20, 0)",17,569.056212609092,52.7801174745149,12.8010587811725,27.1370323458504,541.919180263242,596.193244954943,569,48
"colorset1","blueyellow","high","[30, 90, 210]","[250, 240, 0]",82.7081598446983,"(30, 90, 210) - (250, 240, 0)",17,543.566504808552,71.07279156672,17.2376839257115,36.5422575004167,507.024247308135,580.108762308969,544,83
"colorset1","brownorange","high","[120, 80, 40]","[250, 120, 30]",31.0323602404806,"(120, 80, 40) - (250, 120, 30)",17,568.814252146006,50.5028324049383,12.2487360234369,25.9661604048461,542.84809174116,594.780412550852,569,31
"colorset1","brownpurple","high","[120, 80, 40]","[130, 30, 180]",46.2114165461138,"(120, 80, 40) - (130, 30, 180)",17,596.271494754228,74.3939020033642,18.0431715212776,38.2498149227145,558.021679831514,634.521309676943,596,46
"colorset1","brownred","high","[120, 80, 40]","[220, 20, 0]",23.671836167297,"(120, 80, 40) - (220, 20, 0)",17,577.843569890446,45.1579384457883,10.9524088263015,23.2180695101142,554.625500380332,601.06163940056,578,24
"colorset1","brownyellow","high","[120, 80, 40]","[250, 240, 0]",51.960102204069,"(120, 80, 40) - (250, 240, 0)",17,568.620802222885,80.5446244678494,19.5349408386266,41.4122246037781,527.208577619107,610.033026826664,569,52
"colorset1","darkgreenbluelightred","low","[70, 100, 90]","[200, 100, 70]",40.2864466506493,"(70, 100, 90) - (200, 100, 70)",17,548.672697567107,66.8323194995789,16.2092183824583,34.3620079452078,514.310689621899,583.034705512315,549,40
"colorset1","darkgreenbluemustard","low","[70, 100, 90]","[170, 160, 40]",35.7968733221888,"(70, 100, 90) - (170, 160, 40)",17,583.039227682713,62.9584158009579,15.2696587275827,32.3702304539026,550.668997228811,615.409458136616,583,36
"colorset1","darkgreenblueneonyellow","low","[70, 100, 90]","[220, 240, 150]",46.570130753365,"(70, 100, 90) - (220, 240, 150)",17,552.355485443765,56.7255603058381,13.7579692243126,29.1655918651433,523.189893578622,581.521077308909,552,47
"colorset1","darkgreenbluepink","low","[70, 100, 90]","[200, 170, 170]",42.5629076402525,"(70, 100, 90) - (200, 170, 170)",17,599.757137152367,102.364992885817,24.8271575314014,52.6312228154188,547.125914336948,652.388359967785,600,43
"colorset1","darkgreenblueturquoise","low","[70, 100, 90]","[150, 200, 180]",33.6169505127956,"(70, 100, 90) - (150, 200, 180)",17,592.004027103396,46.8329828733914,11.3586667735139,24.0792978852604,567.924729218135,616.083324988656,592,34
"colorset1","lightredmustard","low","[200, 100, 70]","[170, 160, 40]",36.5544080282845,"(200, 100, 70) - (170, 160, 40)",17,537.918361291786,70.1185540197729,17.0062473258295,36.0516338258932,501.866727465893,573.96999511768,538,37
"colorset1","lightredneonyellow","low","[200, 100, 70]","[220, 240, 150]",49.6566245477111,"(200, 100, 70) - (220, 240, 150)",17,558.21404339604,69.7635744052354,16.9201521231425,35.8691201494795,522.34492324656,594.083163545519,558,50
"colorset1","lightredpink","low","[200, 100, 70]","[200, 170, 170]",23.6757886412278,"(200, 100, 70) - (200, 170, 170)",17,582.145553107586,52.9159438189078,12.8340015085063,27.206867808096,554.93868529949,609.352420915682,582,24
"colorset1","lightredturquoise","low","[200, 100, 70]","[150, 200, 180]",46.5027061300008,"(200, 100, 70) - (150, 200, 180)",17,544.47497989242,64.6468373127966,15.6791610942813,33.2383366911106,511.236643201309,577.71331658353,544,47
"colorset1","mustardneonyellow","low","[170, 160, 40]","[220, 240, 150]",21.4243691375284,"(170, 160, 40) - (220, 240, 150)",17,642.691104842447,72.1445555980399,17.4976248849391,37.0933077173681,605.597797125079,679.784412559815,643,21
"colorset1","mustardpink","low","[170, 160, 40]","[200, 170, 170]",32.076849763291,"(170, 160, 40) - (200, 170, 170)",17,588.282684152273,52.1269797017345,12.6426496032164,26.801219890056,561.481464262217,615.083904042329,588,32
"colorset1","mustardturquoise","low","[170, 160, 40]","[150, 200, 180]",27.5505873303954,"(170, 160, 40) - (150, 200, 180)",17,587.335544136116,84.4764820937225,20.4885563854716,43.4337992549547,543.901744881162,630.769343391071,587,28
"colorset1","neonyellowpink","low","[220, 240, 150]","[200, 170, 170]",35.0687704252878,"(220, 240, 150) - (200, 170, 170)",17,552.23842251249,58.7487525227971,14.2486654132214,30.2058213163188,522.032601196171,582.444243828808,552,35
"colorset1","neonyellowturquoise","low","[220, 240, 150]","[150, 200, 180]",21.0281726497831,"(220, 240, 150) - (150, 200, 180)",17,589.321259974642,68.5682694810003,16.6302480962341,35.2545510665709,554.066708908072,624.575811041213,589,21
"colorset1","orangepurple","high","[250, 120, 30]","[130, 30, 180]",57.9485237623525,"(250, 120, 30) - (130, 30, 180)",17,579.312992974028,86.0363406579901,20.8668776573245,44.2358045239638,535.077188450064,623.548797497992,579,58
"colorset1","orangered","high","[250, 120, 30]","[220, 20, 0]",21.0143069331196,"(250, 120, 30) - (220, 20, 0)",17,607.300772458819,55.7799974910544,13.528636556018,28.6794283263409,578.621344132478,635.98020078516,607,21
"colorset1","orangeyellow","high","[250, 120, 30]","[250, 240, 0]",42.2102778677641,"(250, 120, 30) - (250, 240, 0)",17,579.413177232236,77.4227732828564,18.7777807102039,39.8071168351758,539.60606039706,619.220294067411,579,42
"colorset1","pinkturquoise","low","[200, 170, 170]","[150, 200, 180]",35.0526000445879,"(200, 170, 170) - (150, 200, 180)",17,583.840856980345,58.2446966423805,14.1264139052113,29.9466596966504,553.894197283694,613.787516676995,584,35
"colorset1","purplered","high","[130, 30, 180]","[220, 20, 0]",43.7378700028148,"(130, 30, 180) - (220, 20, 0)",17,597.407273782599,72.4054191961894,17.5608936007655,37.2274314033234,560.179842379276,634.634705185922,597,44
"colorset1","purpleyellow","high","[130, 30, 180]","[250, 240, 0]",93.2420663943032,"(130, 30, 180) - (250, 240, 0)",17,561.739839884964,77.0103259611639,18.6777475412426,39.595055990197,522.144783894767,601.334895875161,562,93
"colorset1","redyellow","high","[220, 20, 0]","[250, 240, 0]",61.9485272047724,"(220, 20, 0) - (250, 240, 0)",17,582.503047712679,64.8278268128851,15.7230574958102,33.3313929053286,549.17165480735,615.834440618007,583,62
"colorset2","bluebrown","high","[10, 90, 210]","[100, 60, 20]",46.5740844929125,"(10, 90, 210) - (100, 60, 20)",20,499.568253575433,65.6881715592656,14.6883216924186,30.7430106211195,468.825242954313,530.311264196553,500,47
"colorset2","bluegrey","high","[10, 90, 210]","[130, 130, 130]",30.2650647928461,"(10, 90, 210) - (130, 130, 130)",20,540.740799808034,46.6773441920333,10.4373714622541,21.8456695352927,518.895130272742,562.586469343327,541,30
"colorset2","blueorange","high","[10, 90, 210]","[250, 120, 30]",56.6325281317702,"(10, 90, 210) - (250, 120, 30)",20,521.970164704069,71.9080123639174,16.0791203772615,33.6539857233351,488.316178980734,555.624150427404,522,57
"colorset2","bluepurple","high","[10, 90, 210]","[130, 30, 180]",21.6908335558281,"(10, 90, 210) - (130, 30, 180)",20,542.126294838281,60.7107413918897,13.5753344716676,28.4135015958385,513.712793242442,570.539796434119,542,22
"colorset2","bluered","high","[10, 90, 210]","[240, 0, 10]",48.8624011509602,"(10, 90, 210) - (240, 0, 10)",20,526.993213999934,62.1407344944575,13.8950906501373,29.0827589689213,497.910455031013,556.075972968855,527,49
"colorset2","browngrey","high","[100, 60, 20]","[130, 130, 130]",30.1473045252209,"(100, 60, 20) - (130, 130, 130)",20,536.673931101894,36.9184786510432,8.25522278896072,17.2783798717944,519.395551230099,553.952310973688,537,30
"colorset2","brownorange","high","[100, 60, 20]","[250, 120, 30]",37.4818721786858,"(100, 60, 20) - (250, 120, 30)",20,528.904337207803,32.2682448243448,7.21539889418407,15.1020034476784,513.802333760124,544.006340655481,529,37
"colorset2","brownpurple","high","[100, 60, 20]","[130, 30, 180]",46.2789572139707,"(100, 60, 20) - (130, 30, 180)",20,538.733763547765,34.9762602287017,7.82092954700993,16.3693936697245,522.364369878041,555.103157217489,539,46
"colorset2","brownred","high","[100, 60, 20]","[240, 0, 10]",29.3966653351858,"(100, 60, 20) - (240, 0, 10)",20,533.336686942256,51.1327960838208,11.4336407923058,23.9308852077602,509.405801734496,557.267572150016,533,29
"colorset2","darkbluelightgreen","low","[50, 80, 100]","[190, 220, 210]",49.423409005401,"(50, 80, 100) - (190, 220, 210)",20,540.758431032223,52.9954651284691,11.8501462526476,24.802641155048,515.955789877175,565.561072187271,541,49
"colorset2","darkblueneonyellow","low","[50, 80, 100]","[160, 180, 20]",56.9561371000812,"(50, 80, 100) - (160, 180, 20)",20,534.215612225016,45.4970867840029,10.1734578827238,21.2932920650507,512.922320159965,555.508904290067,534,57
"colorset2","darkbluepink","low","[50, 80, 100]","[200, 160, 180]",46.4636101128041,"(50, 80, 100) - (200, 160, 180)",20,515.494043837184,61.9619536111508,13.8551140293222,28.9990869399414,486.494956897243,544.493130777125,515,46
"colorset2","darkbluepinkpurple","low","[50, 80, 100]","[160, 0, 80]",38.0850312835973,"(50, 80, 100) - (160, 0, 80)",20,530.322173694275,67.4591967510919,15.0843349642974,31.5718759250268,498.750297769248,561.894049619302,530,38
"colorset2","darkblueyellowbrown","low","[50, 80, 100]","[110, 100, 10]",38.6217423149187,"(50, 80, 100) - (110, 100, 10)",20,526.456607348723,46.3901334956591,10.3731491981584,21.7112507917117,504.745356557011,548.167858140435,526,39
