"colorSet","colorName","nameability","RGB","hue","lightness","saturation","blue","brown","darkblue","darkgreenblue","grey","lightgreen","lightred","mustard","neonyellow","orange","pink","pinkpurple","purple","red","turquoise","yellow","yellowbrown","number_naming_responses","avg_words_per_response","percent_unique_words","simpson_diversity","modal_response_agreement","modal_response","rt_different","rt_different_ci","rt_same","rt_same_ci"
"colorset1","blue","high","[30, 90, 210]",0.611111111111111,0.470588235294118,0.75,NA,45.5603197988184,NA,NA,NA,NA,NA,NA,NA,56.3586210896164,NA,NA,20.9292011635125,48.1719378944356,NA,82.7081598446983,NA,122,1.18032786885246,0.145833333333333,0.671231546231546,0.80327868852459,"blue",557.403180376885,19.1791509221645,594.577070742643,27.2011706064439
"colorset1","brown","high","[120, 80, 40]",0.0833333333333333,0.313725490196078,0.5,45.5603197988184,NA,NA,NA,NA,NA,NA,NA,NA,31.0323602404806,NA,NA,46.2114165461138,23.671836167297,NA,51.960102204069,NA,209,1.14832535885167,0.129166666666667,0.647559274755927,0.818181818181818,"brown",577.125836222979,19.7460085747434,602.028090388691,20.3442186724715
"colorset1","darkgreenblue","low","[70, 100, 90]",0.444444444444444,0.333333333333333,0.176470588235294,NA,NA,NA,NA,NA,NA,40.2864466506493,35.7968733221888,46.570130753365,NA,42.5629076402525,NA,NA,NA,33.6169505127956,NA,NA,153,1.81699346405229,0.219424460431655,0.127964054748981,0.0980392156862745,"grey,grey.green",575.245896247528,21.2377342588968,615.395283414945,30.7518234727667
"colorset1","lightred","low","[200, 100, 70]",0.0384615384615385,0.529411764705882,0.541666666666667,NA,NA,NA,40.2864466506493,NA,NA,NA,36.5544080282845,49.6566245477111,NA,23.6757886412278,NA,NA,NA,46.5027061300008,NA,NA,161,1.56521739130435,0.301587301587302,0.0510971985075571,0.0869565217391304,"brown",554.357471030533,16.1760839556094,623.003212031653,27.5076973080242
"colorset1","mustard","low","[170, 160, 40]",0.153846153846154,0.411764705882353,0.619047619047619,NA,NA,NA,35.7968733221888,NA,NA,36.5544080282844,NA,21.4243691375284,NA,32.076849763291,NA,NA,NA,27.5505873303954,NA,NA,159,1.56603773584906,0.289156626506024,0.0562572872133696,0.0691823899371069,"olive,mustard",587.36993098542,21.9513360756903,638.876691800945,34.1851663484468
"colorset1","neonyellow","low","[220, 240, 150]",0.203703703703704,0.764705882352941,0.75,NA,NA,NA,46.570130753365,NA,NA,49.6566245477111,21.4243691375284,NA,NA,35.0687704252878,NA,NA,NA,21.0281726497831,NA,NA,152,1.74342105263158,0.286792452830189,0.0794739851343625,0.0526315789473684,"pale.green,green",578.898980314005,19.1529464253834,657.958809582778,39.9059102162676
"colorset1","orange","high","[250, 120, 30]",0.0681818181818182,0.549019607843137,0.956521739130435,56.3586210896164,31.0323602404806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9485237623525,21.0143069331196,NA,42.2102778677641,NA,154,1.08441558441558,0.125748502994012,0.732847557896256,0.850649350649351,"orange",575.205984799846,16.3113485437363,603.046000493838,28.0710380976485
"colorset1","pink","low","[200, 170, 170]",0,0.725490196078431,0.214285714285714,NA,NA,NA,42.5629076402525,NA,NA,23.6757886412278,32.076849763291,35.0687704252878,NA,NA,NA,NA,NA,35.0526000445879,NA,NA,133,1.5187969924812,0.277227722772277,0.05443081621595,0.0676691729323308,"grey",581.747817488616,18.788078814158,613.651134067278,29.0496420529691
"colorset1","purple","high","[130, 30, 180]",0.777777777777778,0.411764705882353,0.714285714285714,20.9292011635125,46.2114165461138,NA,NA,NA,NA,NA,NA,NA,57.9485237623525,NA,NA,NA,43.7378700028148,NA,93.2420663943032,NA,151,1.09933774834437,0.108433734939759,0.672362175976634,0.821192052980132,"purple",577.588230964175,18.7105543172529,602.311993465475,33.6010614992309
"colorset1","red","high","[220, 20, 0]",0.0151515151515151,0.431372549019608,1,48.1719378944356,23.671836167297,NA,NA,NA,NA,NA,NA,NA,21.0143069331197,NA,NA,43.7378700028148,NA,NA,61.9485272047724,NA,133,1.13533834586466,0.119205298013245,0.696953642384106,0.827067669172932,"red",587.141526536017,15.4049128675076,581.626157633004,24.8957939416151
