"experiment","subject","condition","conditionC","totalTrialNum","totalTrialNumC","blockNum","categoryLoc","imageName","imageType","isRight","RT","totalTimeMinutes","Age","Gender","L1English"
"1A","p157080","low",-0.5,21,8.5,3,"left","low_B_111.png","prototype",1,1669,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,22,9.5,3,"right","low_A_000.png","prototype",1,1513,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,23,10.5,3,"right","low_A_001.png","1ColorDiff",1,1529,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,24,11.5,3,"right","low_A_010.png","1ColorDiff",0,1354,3.5636,52,"Female","English"
"1A","p359420","high",0.5,1,-11.5,1,"right","high_B_111.png","prototype",0,3000,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,2,-10.5,1,"right","high_B_110.png","1ColorDiff",0,2922,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,3,-9.5,1,"right","high_B_111.png","prototype",1,1550,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,4,-8.5,1,"left","high_A_010.png","1ColorDiff",0,1444,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,5,-7.5,1,"right","high_B_101.png","1ColorDiff",1,2337,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,6,-6.5,1,"left","high_A_000.png","prototype",1,1446,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,7,-5.5,1,"left","high_A_000.png","prototype",1,1221,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,8,-4.5,1,"left","high_A_001.png","1ColorDiff",1,1205,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,9,-3.5,2,"right","high_B_111.png","prototype",1,3208,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,10,-2.5,2,"right","high_B_101.png","1ColorDiff",0,1693,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,11,-1.5,2,"left","high_A_000.png","prototype",1,1366,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,12,-0.5,2,"left","high_A_001.png","1ColorDiff",1,1116,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,13,0.5,2,"right","high_B_111.png","prototype",1,1308,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,14,1.5,2,"right","high_B_110.png","1ColorDiff",1,1521,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,15,2.5,2,"left","high_A_010.png","1ColorDiff",1,1221,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,16,3.5,2,"left","high_A_000.png","prototype",1,1213,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,17,4.5,3,"right","high_B_111.png","prototype",1,2528,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,18,5.5,3,"right","high_B_110.png","1ColorDiff",1,1706,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,19,6.5,3,"left","high_A_001.png","1ColorDiff",1,1114,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,20,7.5,3,"right","high_B_101.png","1ColorDiff",1,1384,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,21,8.5,3,"right","high_B_111.png","prototype",1,1285,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,22,9.5,3,"left","high_A_000.png","prototype",1,1083,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,23,10.5,3,"left","high_A_010.png","1ColorDiff",1,1187,2.85178333333333,39,"Male","English"
"1A","p359420","high",0.5,24,11.5,3,"left","high_A_000.png","prototype",1,1108,2.85178333333333,39,"Male","English"
"1A","p464208","high",0.5,1,-11.5,1,"left","high_A_010.png","1ColorDiff",0,13732,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,2,-10.5,1,"right","high_B_101.png","1ColorDiff",1,2305,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,3,-9.5,1,"right","high_B_111.png","prototype",0,4075,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,4,-8.5,1,"left","high_A_000.png","prototype",1,3630,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,5,-7.5,1,"left","high_A_000.png","prototype",1,1731,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,6,-6.5,1,"right","high_B_110.png","1ColorDiff",0,2663,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,7,-5.5,1,"left","high_A_001.png","1ColorDiff",0,5284,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,8,-4.5,1,"right","high_B_111.png","prototype",1,2392,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,9,-3.5,2,"left","high_A_001.png","1ColorDiff",1,3202,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,10,-2.5,2,"right","high_B_101.png","1ColorDiff",1,3564,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,11,-1.5,2,"right","high_B_110.png","1ColorDiff",0,5779,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,12,-0.5,2,"right","high_B_111.png","prototype",1,1514,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,13,0.5,2,"left","high_A_000.png","prototype",1,1909,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,14,1.5,2,"left","high_A_000.png","prototype",1,2504,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,15,2.5,2,"right","high_B_111.png","prototype",1,3664,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,16,3.5,2,"left","high_A_010.png","1ColorDiff",1,2863,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,17,4.5,3,"left","high_A_000.png","prototype",1,2181,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,18,5.5,3,"left","high_A_000.png","prototype",1,1826,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,19,6.5,3,"left","high_A_010.png","1ColorDiff",1,3830,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,20,7.5,3,"right","high_B_101.png","1ColorDiff",1,1770,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,21,8.5,3,"left","high_A_001.png","1ColorDiff",1,3243,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,22,9.5,3,"right","high_B_110.png","1ColorDiff",1,3219,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,23,10.5,3,"right","high_B_111.png","prototype",1,1906,4.21606666666667,61,"Female","English"
"1A","p464208","high",0.5,24,11.5,3,"right","high_B_111.png","prototype",1,3278,4.21606666666667,61,"Female","English"
"1A","p451009","low",-0.5,1,-11.5,1,"right","low_A_010.png","1ColorDiff",1,1843,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,2,-10.5,1,"right","low_A_001.png","1ColorDiff",0,1410,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,3,-9.5,1,"right","low_A_000.png","prototype",0,1915,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,4,-8.5,1,"right","low_A_000.png","prototype",1,1474,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,5,-7.5,1,"left","low_B_101.png","1ColorDiff",0,1435,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,6,-6.5,1,"left","low_B_110.png","1ColorDiff",1,3075,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,7,-5.5,1,"left","low_B_111.png","prototype",1,1988,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,8,-4.5,1,"left","low_B_111.png","prototype",1,1333,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,9,-3.5,2,"right","low_A_001.png","1ColorDiff",1,1727,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,10,-2.5,2,"right","low_A_000.png","prototype",1,1414,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,11,-1.5,2,"left","low_B_101.png","1ColorDiff",0,1112,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,12,-0.5,2,"right","low_A_010.png","1ColorDiff",0,1821,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,13,0.5,2,"right","low_A_000.png","prototype",1,1988,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,14,1.5,2,"left","low_B_110.png","1ColorDiff",0,1752,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,15,2.5,2,"left","low_B_111.png","prototype",1,1132,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,16,3.5,2,"left","low_B_111.png","prototype",1,1126,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,17,4.5,3,"left","low_B_111.png","prototype",1,4089,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,18,5.5,3,"right","low_A_010.png","1ColorDiff",1,4811,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,19,6.5,3,"right","low_A_001.png","1ColorDiff",1,2316,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,20,7.5,3,"right","low_A_000.png","prototype",1,1788,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,21,8.5,3,"left","low_B_111.png","prototype",1,1051,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,22,9.5,3,"left","low_B_101.png","1ColorDiff",1,1278,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,23,10.5,3,"left","low_B_110.png","1ColorDiff",1,1131,3.12318333333333,22,"Male","English"
"1A","p451009","low",-0.5,24,11.5,3,"right","low_A_000.png","prototype",1,1667,3.12318333333333,22,"Male","English"
"1A","p603987","high",0.5,1,-11.5,1,"right","high_B_110.png","1ColorDiff",0,6606,3.85535,57,"Female","English"
"1A","p603987","high",0.5,2,-10.5,1,"left","high_A_001.png","1ColorDiff",1,1912,3.85535,57,"Female","English"
"1A","p603987","high",0.5,3,-9.5,1,"right","high_B_111.png","prototype",1,1470,3.85535,57,"Female","English"
"1A","p603987","high",0.5,4,-8.5,1,"left","high_A_000.png","prototype",1,1312,3.85535,57,"Female","English"
"1A","p603987","high",0.5,5,-7.5,1,"right","high_B_101.png","1ColorDiff",0,1433,3.85535,57,"Female","English"
"1A","p603987","high",0.5,6,-6.5,1,"left","high_A_010.png","1ColorDiff",0,1497,3.85535,57,"Female","English"
"1A","p603987","high",0.5,7,-5.5,1,"left","high_A_000.png","prototype",1,1465,3.85535,57,"Female","English"
"1A","p603987","high",0.5,8,-4.5,1,"right","high_B_111.png","prototype",1,1758,3.85535,57,"Female","English"
"1A","p603987","high",0.5,9,-3.5,2,"right","high_B_111.png","prototype",1,2880,3.85535,57,"Female","English"
"1A","p603987","high",0.5,10,-2.5,2,"right","high_B_111.png","prototype",1,1427,3.85535,57,"Female","English"
"1A","p603987","high",0.5,11,-1.5,2,"left","high_A_010.png","1ColorDiff",1,2459,3.85535,57,"Female","English"
"1A","p603987","high",0.5,12,-0.5,2,"right","high_B_101.png","1ColorDiff",1,1892,3.85535,57,"Female","English"
"1A","p603987","high",0.5,13,0.5,2,"left","high_A_000.png","prototype",1,3034,3.85535,57,"Female","English"
"1A","p603987","high",0.5,14,1.5,2,"left","high_A_000.png","prototype",1,1374,3.85535,57,"Female","English"
"1A","p603987","high",0.5,15,2.5,2,"left","high_A_001.png","1ColorDiff",0,4236,3.85535,57,"Female","English"
"1A","p603987","high",0.5,16,3.5,2,"right","high_B_110.png","1ColorDiff",1,3041,3.85535,57,"Female","English"
